cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
30,12.627113481229408,13.691104652810006,1.0842624225372057,middle
31,6.824793641536501,7.7222564325991145,1.1315003556445353,upper_quantile
32,12.733714735154125,12.94447101292294,1.016551044385106,lower_quantile
33,12.492681147401482,13.018288759673304,1.042073243210978,middle
34,10.752209195275586,11.210046161948824,1.0425807346525966,middle
35,5.644259790599287,6.497499837073296,1.1511695205623083,upper_quantile
36,6.694295931484662,7.944102933131872,1.1866973038597097,upper_quantile
37,8.398490159109233,11.530996616903941,1.372984476786831,upper_quantile
38,13.482254122228358,13.933771327262063,1.0334897414735182,middle
39,5.917571601044593,7.341608133656592,1.2406454249511105,upper_quantile
40,14.420097883764143,14.723141515474632,1.0210153657869196,lower_quantile
41,14.186934696617884,14.844292304587368,1.0463354221350012,middle
42,10.913851679173368,11.227587448860355,1.0287465671066138,middle
43,10.556976353132978,10.805759192852957,1.0235657286137756,lower_quantile
44,7.3326731737307975,7.754532247299596,1.0575314163844234,middle
45,5.671104062047433,6.3015640243212125,1.1111705860756442,upper_quantile
46,9.85607938124565,11.798137827704458,1.1970416807066506,upper_quantile
47,11.865104920441143,12.256792505516593,1.033011725366259,middle
48,13.815354475902913,14.03229322884726,1.0157027279555322,lower_quantile
49,14.29249243996026,14.493513698588682,1.0140648147601177,lower_quantile
50,7.417663385509214,7.877716857255926,1.0620213465935175,middle
51,5.826167559679538,6.744064193129764,1.15754724251369,upper_quantile
52,10.817813135491248,11.390366396648044,1.0529268951113933,middle
53,9.049519316389224,10.081851429502043,1.114075905804544,upper_quantile
54,13.552228943141712,13.754677298568708,1.0149383807103884,lower_quantile
55,8.242243664476996,8.583504507078402,1.0414038769652243,middle
56,8.828347883638246,9.82414015819287,1.1127948612446668,upper_quantile
57,13.339109193439652,13.665604624575439,1.0244765543486487,lower_quantile
58,7.9393169736438525,8.399680659311402,1.0579853011532123,middle
59,9.226608448960073,10.398976962548065,1.1270638631815062,upper_quantile
60,6.598812280462767,7.481186368422282,1.1337171070272718,upper_quantile
61,11.894297957921758,12.275990365090637,1.0320903687228271,middle
